Year,Month,Day,Hour,Minute,air pressure at 40m (Pa),temperature at 100m (C),temperature at 120m (C),temperature at 40m (C),temperature at 80m (C),wind direction at 100m (deg),wind direction at 120m (deg),wind direction at 40m (deg),wind direction at 80m (deg),wind speed at 100m (m/s),wind speed at 120m (m/s),wind speed at 40m (m/s),wind speed at 80m (m/s),air pressure at 100m (Pa)
2014,1,1,0,30,93970,14.51,14.59,13.35,14.42,336.46,337.65000000000003,328.27,334.87,8.46,8.65,6.01,8.17,93310
2014,1,1,1,30,94000,14.11,14.23,12.88,13.97,337.90000000000003,339.24,330.42,336.04,8.89,9.1,6.26,8.540000000000001,93340
2014,1,1,2,30,94050,13.84,14.05,13.84,13.61,336.93,338.15000000000003,333.02,335.44,8.18,8.92,4.96,7.22,93390
2014,1,1,3,30,94090,15.4,15.18,16.18,15.63,335.40000000000003,335.31,335.64,335.48,6.1000000000000005,6.21,5.5600000000000005,5.97,93430
2014,1,1,4,30,94110,17.12,16.89,17.92,17.35,329.89,329.74,330.34000000000003,330.03000000000003,5.87,5.92,5.53,5.8,93460
2014,1,1,5,30,94130,18.77,18.54,19.59,19.01,321.99,321.84000000000003,322.46,322.13,6.16,6.21,5.84,6.1000000000000005,93470
2014,1,1,6,30,94050,21.490000000000002,21.26,22.27,21.72,347.28000000000003,347.13,347.84000000000003,347.44,3.5500000000000003,3.5700000000000003,3.43,3.5300000000000002,93410
2014,1,1,7,30,94020,22.01,21.79,22.79,22.240000000000002,337.73,337.67,337.96,337.8,4.39,4.41,4.21,4.3500000000000005,93380
2014,1,1,8,30,94010,22.36,22.14,23.12,22.59,332.81,332.77,332.98,332.86,4.64,4.67,4.44,4.61,93360
2014,1,1,9,30,93970,22.36,22.150000000000002,23.06,22.580000000000002,333.03000000000003,333,333.18,333.07,4.76,4.79,4.55,4.72,93330
2014,1,1,10,30,93960,22.09,21.89,22.69,22.29,333.12,333.12,333.06,333.11,5.11,5.15,4.76,5.05,93310
2014,1,1,11,30,93920,21.53,21.35,21.61,21.7,333.96,333.99,333.59000000000003,333.96,6.44,6.48,5.32,6.36,93270
2014,1,1,12,30,93900,20.89,20.76,20.22,21,337.27,337.63,335.06,336.89,7.36,7.34,5.8,7.3100000000000005,93250
2014,1,1,13,30,93930,19.27,19.29,18.28,19.19,0.68,1.17,355.3,359.73,7.96,8.32,5.28,7.42,93280
2014,1,1,14,30,93940,18.6,18.7,17.26,18.45,0.37,0.5700000000000001,352.51,359.72,6.4,6.63,3.73,5.99,93290
2014,1,1,15,30,93950,18.71,18.8,17.32,18.56,352.99,352.84000000000003,343.13,352.78000000000003,5.62,5.84,3.42,5.29,93300
2014,1,1,16,30,93970,18.75,18.87,17.240000000000002,18.56,349.64,349.69,339.85,349.18,5.98,6.3,3.65,5.5600000000000005,93310
2014,1,1,17,30,94010,18.39,18.51,16.88,18.21,351.2,352.32,339.38,349.44,6.18,6.59,3.39,5.65,93350
2014,1,1,18,30,94050,17.5,17.63,16.16,17.32,343.36,346.5,311.51,338.83,4.8100000000000005,5.18,2.5500000000000003,4.37,93390
2014,1,1,19,30,94030,17.25,17.35,15.92,17.09,334.31,338.17,306.25,329.18,5.3500000000000005,5.54,3.86,5.12,93370
2014,1,1,20,30,94010,16.45,16.56,15.16,16.31,328,332.2,299.64,322.59000000000003,5.82,5.98,4.4,5.6000000000000005,93350
2014,1,1,21,30,94010,15.92,16.04,14.86,15.790000000000001,327,329.34000000000003,308.08,324.01,6.57,6.7700000000000005,4.71,6.25,93340
2014,1,1,22,30,93990,15.77,15.9,14.700000000000001,15.63,323.91,325.47,310.42,321.81,7.44,7.57,5.88,7.24,93330
2014,1,1,23,30,93990,15.120000000000001,15.21,13.98,15.02,329.97,331.24,319.41,328.3,7.84,7.98,5.99,7.63,93320
2014,1,2,0,30,93970,14.51,14.59,13.35,14.42,336.46,337.65000000000003,328.27,334.87,8.46,8.65,6.01,8.17,93310
2014,1,2,1,30,94000,14.11,14.23,12.88,13.97,337.90000000000003,339.24,330.42,336.04,8.89,9.1,6.26,8.540000000000001,93340
2014,1,2,2,30,94050,13.84,14.05,13.84,13.61,336.93,338.15000000000003,333.02,335.44,8.18,8.92,4.96,7.22,93390
2014,1,2,3,30,94090,15.4,15.18,16.18,15.63,335.40000000000003,335.31,335.64,335.48,6.1000000000000005,6.21,5.5600000000000005,5.97,93430
2014,1,2,4,30,94110,17.12,16.89,17.92,17.35,329.89,329.74,330.34000000000003,330.03000000000003,5.87,5.92,5.53,5.8,93460
2014,1,2,5,30,94130,18.77,18.54,19.59,19.01,321.99,321.84000000000003,322.46,322.13,6.16,6.21,5.84,6.1000000000000005,93470
2014,1,2,6,30,94110,20.09,19.87,20.89,20.32,317.49,317.29,318.19,317.7,5.14,5.17,4.95,5.11,93460
2014,1,2,7,30,94040,20.68,20.45,21.47,20.91,310.2,309.96,311.06,310.46,4.96,4.99,4.78,4.93,93390
2014,1,2,8,30,93990,21.05,20.830000000000002,21.81,21.28,304.94,304.69,305.86,305.2,5.1000000000000005,5.14,4.89,5.07,93340
2014,1,2,9,30,93960,21.09,20.88,21.8,21.31,302.71,302.52,303.36,302.89,5.47,5.51,5.21,5.43,93310
2014,1,2,10,30,93930,20.66,20.46,21.28,20.86,309.59000000000003,309.37,310.47,309.84000000000003,6.05,6.1000000000000005,5.63,5.99,93280
2014,1,2,11,30,93910,19.75,19.59,19.830000000000002,19.91,318.59000000000003,318.04,320.40000000000003,319.17,7.33,7.5,5.67,7.09,93260
2014,1,2,12,30,93900,18.95,18.8,18.42,19.06,317.93,317.73,317.73,318.17,8.52,8.72,6.18,8.21,93250
2014,1,2,13,30,93920,18.64,18.48,18.09,18.78,322.18,322.22,319.71,322.01,7.32,7.41,5.61,7.22,93270
2014,1,2,14,30,93920,18.400000000000002,18.35,17.36,18.39,324.72,324.65000000000003,321.18,324.72,7.63,8.1,4.76,7.05,93270
2014,1,2,15,30,93950,16.48,16.47,15.47,16.42,330.8,332.3,321.53000000000003,329.21,8.02,8.45,4.89,7.44,93280
2014,1,2,16,30,93970,15.35,15.4,14.51,15.3,336.71,339.54,326.78000000000003,333.7,7.16,7.59,4.64,6.65,93310
2014,1,2,17,30,93980,15.42,15.55,14.21,15.25,337.18,338.53000000000003,326.85,334.96,7.3500000000000005,7.67,4.87,6.9,93320
2014,1,2,18,30,93980,15.44,15.540000000000001,14.1,15.3,333.14,333.15000000000003,325.56,332.64,7.61,7.7700000000000005,5.29,7.33,93310
2014,1,2,19,30,93950,15.21,15.36,13.790000000000001,15.05,323.56,322.73,318.82,324.05,7.84,7.92,5.75,7.68,93290
2014,1,2,20,30,93930,14.68,14.83,13.15,14.530000000000001,324.31,323.29,321.85,325.08,8.58,8.66,5.99,8.4,93270
2014,1,2,21,30,93940,14.32,14.46,12.81,14.16,326.45,325.34000000000003,326.36,327.47,9.06,9.23,6.41,8.75,93270
2014,1,2,22,30,93940,14.61,14.8,12.81,14.38,324.23,323.07,325.71,325.52,8.85,9.14,6.1000000000000005,8.49,93280
2014,1,2,23,30,93930,14.72,14.89,12.77,14.52,320.86,320.81,319.02,320.92,9.23,9.57,6.57,8.84,93260
2014,1,3,0,30,93910,14.44,14.65,12.19,14.18,319.04,319.3,314.84000000000003,318.56,10.18,10.46,7.0600000000000005,9.83,93240
2014,1,3,1,30,93950,14.48,14.700000000000001,12.14,14.200000000000001,317.33,317.21,312.62,317.19,9.93,10.18,6.86,9.61,93290
2014,1,3,2,30,94010,14.280000000000001,14.63,12.94,13.84,315.89,316.22,312.25,314.98,9.27,9.93,5.5,8.35,93340
2014,1,3,3,30,94050,15.34,15.120000000000001,16.09,15.56,320.73,320.51,321.34000000000003,320.95,6.59,6.9,5.71,6.32,93390
2014,1,3,4,30,94070,16.97,16.740000000000002,17.77,17.2,327.01,326.85,327.55,327.17,7.42,7.53,6.86,7.3,93400
2014,1,3,5,30,94080,17.89,17.650000000000002,18.71,18.12,326.43,326.29,326.88,326.56,8.09,8.18,7.57,7.98,93420
2014,1,3,6,30,94060,18.73,18.490000000000002,19.56,18.97,323.29,323.21,323.6,323.39,7.48,7.55,7.08,7.41,93410
2014,1,3,7,30,94030,19.02,18.79,19.82,19.25,323.75,323.63,324.14,323.87,6.54,6.59,6.24,6.49,93380
2014,1,3,8,30,93960,19.34,19.12,20.1,19.56,321.96,321.83,322.42,322.1,5.49,5.53,5.26,5.45,93310
2014,1,3,9,30,93940,19.37,19.16,20.080000000000002,19.580000000000002,325.26,325.15000000000003,325.61,325.37,5.79,5.82,5.54,5.75,93280
2014,1,3,10,30,93900,18.93,18.73,19.55,19.13,326.77,326.66,327.17,326.88,5.3,5.34,4.95,5.24,93250
2014,1,3,11,30,93880,18.35,18.16,18.56,18.53,337.24,336.93,338.54,337.59000000000003,5.89,5.96,4.69,5.78,93230
2014,1,3,12,30,93860,17.830000000000002,17.69,17.36,17.95,338.19,338.16,336.69,338.25,6.3500000000000005,6.46,4.3,6.17,93210
2014,1,3,13,30,93880,17.51,17.42,16.66,17.57,332.43,332.91,318.37,331.67,5.41,5.5200000000000005,3.25,5.22,93220
2014,1,3,14,30,93860,17.29,17.22,16.53,17.32,329.86,331.23,307,327.6,4.2,4.43,2.59,3.9,93200
2014,1,3,15,30,93840,16.96,16.9,16.38,17,322.92,324.2,299.31,320.36,3.39,3.5700000000000003,2.43,3.17,93180
2014,1,3,16,30,93840,16.68,16.65,16.04,16.7,304.46,306.68,285.6,301.78000000000003,3,3.18,2.57,2.85,93180
2014,1,3,17,30,93840,16.68,16.69,15.76,16.65,299.59000000000003,305.78000000000003,279.61,292.77,3.7600000000000002,3.98,3.49,3.64,93190
2014,1,3,18,30,93880,15.64,15.71,14.280000000000001,15.56,298.65000000000003,305.05,284.47,293.15000000000003,4.67,4.45,5.04,5.01,93210
2014,1,3,19,30,93870,15.5,15.64,13.780000000000001,15.35,307.6,312.22,292.98,302.69,4.5600000000000005,4.6000000000000005,4.92,4.65,93200
2014,1,3,20,30,93850,15.55,15.700000000000001,13.52,15.35,307.02,308.55,294.21,304.79,4.76,4.96,4.28,4.62,93180
2014,1,3,21,30,93830,15.76,15.92,13.4,15.530000000000001,306.35,306.31,297.32,306.01,5.64,5.97,4.3100000000000005,5.33,93160
2014,1,3,22,30,93830,15.14,15.33,12.47,14.84,313.99,314.42,306.58,313.09000000000003,5.42,5.59,4.0200000000000005,5.25,93160
2014,1,3,23,30,93830,14.16,14.35,11.88,13.9,326.96,326.49,319.17,327.05,4.73,4.78,3.7,4.67,93160
2014,1,4,0,30,93830,13.69,13.83,11.92,13.5,328.91,328.97,320.92,328.75,4.97,5.2,3.99,4.7700000000000005,93160
2014,1,4,1,30,93840,13.15,13.38,11.43,12.89,325.33,325.07,318.8,325.21,7.15,7.640000000000001,5.41,6.68,93170
2014,1,4,2,30,93880,12.81,13.17,11.28,12.4,327.94,327.52,322.63,328.07,7.62,8.3,4.54,6.83,93210
2014,1,4,3,30,93890,13.4,13.32,14.120000000000001,13.6,323.45,323.68,323.17,323.24,5.98,6.83,4.8500000000000005,5.46,93230
2014,1,4,4,30,93910,15.780000000000001,15.55,16.580000000000002,16.01,325.27,325.15000000000003,325.64,325.39,6.87,6.99,6.33,6.75,93250
2014,1,4,5,30,93920,17.35,17.12,18.18,17.59,325.83,325.71,326.24,325.95,7.76,7.87,7.18,7.63,93270
2014,1,4,6,30,93890,17.830000000000002,17.6,18.64,18.07,318.67,318.61,318.88,318.72,6.5,6.5600000000000005,6.17,6.44,93240
2014,1,4,7,30,93830,18.42,18.19,19.22,18.650000000000002,325.89,325.83,326.11,325.96,6.86,6.92,6.49,6.79,93180
2014,1,4,8,30,93740,18.82,18.6,19.57,19.05,327,326.95,327.21,327.06,5.26,5.3,5.01,5.21,93090
2014,1,4,9,30,93730,19.06,18.85,19.76,19.28,326.55,326.51,326.67,326.58,5.99,6.04,5.66,5.93,93080
2014,1,4,10,30,93770,18.68,18.48,19.27,18.88,324.33,324.3,324.3,324.35,6.38,6.46,5.7700000000000005,6.28,93120
2014,1,4,11,30,93730,18.14,17.95,18.28,18.32,324.41,324.13,323.54,324.65000000000003,5.19,5.23,4.24,5.12,93080
2014,1,4,12,30,93670,17.64,17.48,17.37,17.79,316.16,315.08,315.41,317.1,5.1000000000000005,5.03,4.65,5.18,93010
2014,1,4,13,30,93700,17.34,17.240000000000002,16.4,17.42,305.34000000000003,303.73,304.18,306.90000000000003,5.8500000000000005,5.91,5,5.8,93050
2014,1,4,14,30,93700,17.19,17.16,15.97,17.2,290.25,290.31,286.26,290.54,4.93,5.01,4.23,4.87,93050
2014,1,4,15,30,93700,17.48,17.490000000000002,16.13,17.43,284.23,287.67,273.49,280.64,5.11,5.41,4.22,4.8500000000000005,93040
2014,1,4,16,30,93680,17.48,17.580000000000002,16.02,17.36,284,286.98,268.55,280,6.33,6.83,4.8500000000000005,5.82,93030
2014,1,4,17,30,93670,17.93,17.98,15.96,17.830000000000002,282.05,285.23,270.01,278.79,7.7700000000000005,7.99,6.29,7.57,93010
2014,1,4,18,30,93680,17.53,17.6,15.71,17.45,291.28000000000003,295.59000000000003,274.3,286.29,8.22,8.63,6.5,7.84,93020
2014,1,4,19,30,93650,17.5,17.64,15.15,17.29,300.18,302.48,283.54,296.79,8.93,9.23,6.72,8.57,92990
2014,1,4,20,30,93640,17,17.12,14.790000000000001,16.85,307.46,307.73,296.79,306.64,8.34,8.53,6.43,8.120000000000001,92980
2014,1,4,21,30,93630,16.56,16.740000000000002,14.290000000000001,16.330000000000002,309.15000000000003,309.21,300.90000000000003,308.78000000000003,7.62,7.91,5.74,7.3100000000000005,92970
2014,1,4,22,30,93630,16.37,16.6,14.01,16.11,312.69,312.73,304.67,312.35,7.21,7.55,5.14,6.82,92970
2014,1,4,23,30,93630,16.330000000000002,16.59,13.96,16,315.13,315.01,306.73,315.15000000000003,6.49,6.88,4.29,6.03,92960
2014,1,5,0,30,93630,16.21,16.490000000000002,14.02,15.85,316.19,315.99,305.12,316.19,5.42,5.86,3.15,4.88,92970
2014,1,5,1,30,93650,16.77,17.02,14.68,16.45,312.47,312.8,300.47,311.82,5.7700000000000005,6.11,3.86,5.3500000000000005,92990
2014,1,5,2,30,93680,17.34,17.54,15.610000000000001,17.06,308.67,309.76,294.16,307.06,6.28,6.5,4.49,5.99,93030
2014,1,5,3,30,93710,17.42,17.45,17.96,17.48,312.49,314.19,309.87,310.21,4.84,5.74,3.62,3.93,93060
2014,1,5,4,30,93750,19.09,18.87,19.87,19.32,331.35,331.12,332.13,331.59000000000003,6.21,6.29,5.8,6.12,93090
2014,1,5,5,30,93760,19.42,19.19,20.23,19.650000000000002,333.24,333.16,333.53000000000003,333.33,7.18,7.24,6.78,7.1000000000000005,93100
2014,1,5,6,30,93650,20.69,20.47,21.48,20.92,335.68,335.39,336.7,335.98,4.33,4.3500000000000005,4.2,4.3100000000000005,93000
2014,1,5,7,30,93630,21.14,20.91,21.92,21.37,344.11,343.96,344.64,344.27,4.45,4.47,4.3,4.43,92990
2014,1,5,8,30,93590,21.330000000000002,21.12,22.1,21.56,357.06,356.93,357.55,357.2,4.83,4.84,4.67,4.8,92940
2014,1,5,9,30,93520,21.26,21.04,21.96,21.47,14.88,14.83,15.1,14.93,4.51,4.53,4.33,4.48,92880
2014,1,5,10,30,93510,21.150000000000002,20.95,21.78,21.36,28.810000000000002,28.98,28.29,28.63,2.42,2.43,2.34,2.41,92870
2014,1,5,11,30,93500,20.63,20.45,20.97,20.81,54.35,55.09,51.52,53.54,3.7800000000000002,3.85,3.09,3.68,92840
2014,1,5,12,30,93460,19.78,19.61,19.84,19.92,66.51,67.23,64.05,65.91,4.73,4.73,3.54,4.68,92810
2014,1,5,13,30,93480,18.71,18.71,18.3,18.67,80.96000000000001,81.86,82.09,80.21000000000001,6.09,6.26,3.88,5.75,92830
2014,1,5,14,30,93520,18.29,18.31,17.490000000000002,18.2,81.79,82.77,80.82000000000001,80.81,6.15,6.51,3.45,5.59,92860
2014,1,5,15,30,93560,18.28,18.25,17.43,18.26,73.4,75.14,64.54,71.52,5.24,5.3500000000000005,3.13,5.04,92900
2014,1,5,16,30,93590,18.13,18.12,17.21,18.1,67.05,69.27,54.620000000000005,64.67,4.65,4.74,2.96,4.49,92940
2014,1,5,17,30,93610,17.86,17.88,16.66,17.77,76.98,79.3,63.6,74.17,5.08,5.3,3.18,4.8100000000000005,92950
2014,1,5,18,30,93600,16.88,16.97,15.84,16.75,78.67,82.31,66.62,74.47,5.01,5.34,3.18,4.65,92940
2014,1,5,19,30,93560,16.67,16.75,15.6,16.56,88.54,91.93,90.59,85.96000000000001,5.94,6.07,3.98,5.7700000000000005,92900
2014,1,5,20,30,93550,16.64,16.63,15.36,16.62,113.12,118.2,111.66,108.11,6.18,6.3500000000000005,4.03,5.98,92880
2014,1,5,21,30,93530,16.240000000000002,16.26,15.05,16.18,123.49000000000001,128.6,120.10000000000001,118.85000000000001,5.05,5.16,3.39,4.93,92880
2014,1,5,22,30,93550,15.9,15.98,14.71,15.8,109.77,115.29,98.61,105.04,4.01,4.04,2.5,3.93,92890
2014,1,5,23,30,93550,15.83,15.9,14.64,15.73,109.94,116.89,100.07000000000001,104.43,3.68,3.62,2.31,3.68,92890
2014,1,6,0,30,93510,15.73,15.82,14.44,15.610000000000001,99.98,107.26,88.5,94.60000000000001,4.16,3.93,2.88,4.2700000000000005,92860
2014,1,6,1,30,93540,15.66,15.76,14.22,15.47,103.01,111.95,92.76,95.22,4.62,4.29,3.45,4.95,92880
